Dog Breed,ID Code,Breed Group,Temperament,Weight,Height,Bred For,Life Span,Origin,Reference Image ID,min_weight,max_weight,min_height,max_height,min_lifespan,max_lifespan
German Shorthaired Pointer,116,Sporting,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",45 - 70,21 - 25,General hunting,12 - 14 ,none,SJqBMg5Nm,45 ,70.0,21 ,25.0,12 ,14.0
Giant Schnauzer,119,Working,"Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful",65 - 90,23.5 - 27.5,"Herding, guarding",10 - 12 ,none,H1NIzlcV7,65 ,90.0,23.5 ,27.5,10 ,12.0
Glen of Imaal Terrier,120,Terrier,"Spirited, Agile, Loyal, Gentle, Active, Courageous",32 - 40,12.5 - 14,"Rid the home and farm of vermin, and hunt badger and fox",12 - 15 ,none,H1oLMe94m,32 ,40.0,12.5 ,14.0,12 ,15.0
Golden Retriever,121,Sporting,"Intelligent, Kind, Reliable, Friendly, Trustworthy, Confident",55 - 75,21.5 - 24,Retrieving,10 - 12 ,none,HJ7Pzg5EQ,55 ,75.0,21.5 ,24.0,10 ,12.0
Gordon Setter,123,Sporting,"Fearless, Alert, Loyal, Confident, Gay, Eager",45 - 80,23 - 27,Find and point gamebirds,10 - 12 ,none,SJ5vzx5NX,45 ,80.0,23 ,27.0,10 ,12.0
Great Dane,124,Working,"Friendly, Devoted, Reserved, Gentle, Confident, Loving",110 - 190,28 - 32,"Hunting & holding boars, Guardian",7 - 10 ,none,B1Edfl9NX,110 ,190.0,28 ,32.0,7 ,10.0
Great Pyrenees,125,Working,"Strong Willed, Fearless, Affectionate, Patient, Gentle, Confident",85 - 115,25 - 32,Sheep guardian,10 - 12 ,none,B12uzg9V7,85 ,115.0,25 ,32.0,10 ,12.0
Greyhound,127,Hound,"Affectionate, Athletic, Gentle, Intelligent, Quiet, Even Tempered",50 - 70,27 - 30,Coursing hares,10 - 13 ,none,ryNYMx94X,50 ,70.0,27 ,30.0,10 ,13.0
Griffon Bruxellois,128,none,"Self-important, Inquisitive, Alert, Companionable, Sensitive, Watchful",12,9 - 11,Hunt and kill vermin in stables,10 – 15 ,none,ryoYGec4Q,12,,9 ,11.0,10 – 15 ,
Harrier,129,Hound,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active",40 - 60,18 - 22,Hunting hares by trailing them,12 - 15 ,none,B1IcfgqE7,40 ,60.0,18 ,22.0,12 ,15.0
Havanese,130,Toy,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",7 - 13,8.5 - 11.5,Companionship,14 - 15 ,none,rkXiGl9V7,7 ,13.0,8.5 ,11.5,14 ,15.0
Irish Setter,134,Sporting,"Affectionate, Energetic, Lively, Independent, Playful, Companionable",35 - 70,24 - 27,"Bird setting, retrieving",10 - 11 ,none,S1osGeqVm,35 ,70.0,24 ,27.0,10 ,11.0
Irish Terrier,135,Terrier,"Respectful, Lively, Intelligent, Dominant, Protective, Trainable",25 - 27,18,none,12 - 16 ,none,By-hGecVX,25 ,27.0,18,,12 ,16.0
Irish Wolfhound,137,Hound,"Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",105 - 180,30 - 35,"Coursing wolves, elk",6 - 8 ,none,Hyd2zgcEX,105 ,180.0,30 ,35.0,6 ,8.0
Italian Greyhound,138,Toy,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",7 - 15,13 - 15,Lapdog,12 - 15 ,none,SJAnzg9NX,7 ,15.0,13 ,15.0,12 ,15.0
Japanese Chin,140,Toy,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",4 - 9,8 - 11,Lapdog,12 - 14 ,none,r1H6feqEm,4 ,9.0,8 ,11.0,12 ,14.0
Japanese Spitz,141,none,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",15 - 19,12 - 15,Companion,10 – 16 ,none,HksaMxqNX,15 ,19.0,12 ,15.0,10 – 16 ,
Keeshond,142,Non-Sporting,"Agile, Obedient, Playful, Quick, Sturdy, Bright",35 - 45,17 - 18,Barge watchdog,12 - 15 ,none,S1GAGg9Vm,35 ,45.0,17 ,18.0,12 ,15.0
Komondor,144,Working,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",80 - 100,25.5 - 27.5,Sheep guardian,10 - 12 ,none,Bko0fl547,80 ,100.0,25.5 ,27.5,10 ,12.0
Kooikerhondje,145,Sporting,"Benevolent, Agile, Alert, Intelligent, Active, Territorial",20 - 30,14 - 16,"Luring ducks into traps - ""tolling""",12 - 15 ,none,kOMy84GQE,20 ,30.0,14 ,16.0,12 ,15.0
Kuvasz,147,Working,"Clownish, Loyal, Patient, Independent, Intelligent, Protective",70 - 115,26 - 30,"Guardian, hunting large game",8 - 10 ,none,BykZ7ecVX,70 ,115.0,26 ,30.0,8 ,10.0
Labrador Retriever,149,Sporting,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",55 - 80,21.5 - 24.5,Water retrieving,10 - 13 ,none,B1uW7l5VX,55 ,80.0,21.5 ,24.5,10 ,13.0
Lagotto Romagnolo,151,Sporting,"Keen, Loyal, Companionable, Loving, Active, Trainable",24 - 35,16 - 19,Water retrieval dog in the marshes of Romagna,14 - 16 ,none,ryzzmgqE7,24 ,35.0,16 ,19.0,14 ,16.0
Lancashire Heeler,153,none,"Clever, Friendly, Alert, Intelligent",6 - 13,10 - 12,"Cattle herding, Ratting, Driving cattle to market.",12 – 15 ,none,S1RGml5Em,6 ,13.0,10 ,12.0,12 – 15 ,
Leonberger,155,Working,"Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",120 - 170,25.5 - 31.5,"Guardian, appearance.",6 - 8 ,none,ByrmQlqVm,120 ,170.0,25.5 ,31.5,6 ,8.0
Lhasa Apso,156,Non-Sporting,"Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",12 - 18,10 - 11,"Guarding inside the home, companion",12 - 15 ,none,SJp7Qe5EX,12 ,18.0,10 ,11.0,12 ,15.0
Maltese,161,Toy,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",4 - 7,8 - 10,Lapdog,15 - 18 ,none,B1SV7gqN7,4 ,7.0,8 ,10.0,15 ,18.0
Miniature American Shepherd,165,Herding,"Energetic, Loyal, Intelligent, Trainable",20 - 40,13 - 18,none,12 - 15 ,none,BkHHQgcN7,20 ,40.0,13 ,18.0,12 ,15.0
Miniature Pinscher,167,Toy,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful",8 - 11,10 - 12.5,Small vermin hunting,15 ,none,Hy3H7g94X,8 ,11.0,10 ,12.5,15 ,
Miniature Schnauzer,168,Terrier,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",11 - 20,12 - 14,Ratting,12 - 14 ,none,SJIUQl9NX,11 ,20.0,12 ,14.0,12 ,14.0
Newfoundland,171,Working,"Sweet-Tempered, Gentle, Trainable",100 - 150,26 - 28,"All purpose water dog, fishing aid",8 - 10 ,none,Sk4DXl54m,100 ,150.0,26 ,28.0,8 ,10.0
Norfolk Terrier,172,Terrier,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",11 - 12,9 - 10,"Ratting, fox bolting",12 - 15 ,none,B1ADQg94X,11 ,12.0,9 ,10.0,12 ,15.0
Norwich Terrier,176,Terrier,"Hardy, Affectionate, Energetic, Sensitive, Intelligent",11 - 12,10,"Ratting, fox bolting",12 - 15 ,none,BkgKXlqE7,11 ,12.0,10,,12 ,15.0
Nova Scotia Duck Tolling Retriever,177,Sporting,"Outgoing, Alert, Patient, Intelligent, Loving",35 - 50,17 - 21,none,12 - 14 ,none,SyYtQe5V7,35 ,50.0,17 ,21.0,12 ,14.0
Old English Sheepdog,178,Herding,"Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",60 - 100,21,"Driving sheep, cattle",10 - 12 ,none,HkZ57lq4m,60 ,100.0,21,,10 ,12.0
Olde English Bulldogge,179,none,"Friendly, Alert, Confident, Loving, Courageous, Strong",65 – 85,15 - 19,none,9 – 14 ,none,B1d5me547,65 – 85,,15 ,19.0,9 – 14 ,
Papillon,181,Toy,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",3 - 12,8 - 11,Lapdog,13 - 17 ,none,SkJj7e547,3 ,12.0,8 ,11.0,13 ,17.0
Pekingese,183,Toy,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",14,6 - 9,Lapdog,14 - 18 ,none,ByIiml9Nm,14,,6 ,9.0,14 ,18.0
Pembroke Welsh Corgi,184,Herding,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",25 - 30,10 - 12,Driving stock to market in northern Wales,12 - 14 ,none,rJ6iQeqEm,25 ,30.0,10 ,12.0,12 ,14.0
Perro de Presa Canario,185,Working,"Strong Willed, Suspicious, Gentle, Dominant, Calm",88 - 110,22 - 25.5,none,10 - 12 ,none,S1V3Qeq4X,88 ,110.0,22 ,25.5,10 ,12.0
Pharaoh Hound,188,Hound,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",40 - 60,21 - 25,Hunting rabbits,12 - 14 ,none,Byz6mgqEQ,40 ,60.0,21 ,25.0,12 ,14.0
Plott,189,Hound,"Bold, Alert, Loyal, Intelligent",40 - 60,20 - 25,Hunting big-game like Boar.,12 - 14 ,none,B1i67l5VQ,40 ,60.0,20 ,25.0,12 ,14.0
Pomeranian,193,Toy,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active",3 - 7,8 - 12,Companion,15 ,none,HJd0XecNX,3 ,7.0,8 ,12.0,15 ,
Poodle (Miniature),196,none,none,15 - 17,11 - 15,none,12 – 15 ,none,Hkxk4ecVX,15 ,17.0,11 ,15.0,12 – 15 ,
Poodle (Toy),197,none,none,6 - 9,9 - 11,none,18 ,none,rJFJVxc4m,6 ,9.0,9 ,11.0,18 ,
Pug,201,Toy,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",14 - 18,10 - 12,Lapdog,12 - 14 ,none,HyJvcl9N7,14 ,18.0,10 ,12.0,12 ,14.0
Puli,204,Herding,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful",25 - 35,16 - 17,Herding,12 - 16,none,ryPgVl5N7,25 ,35.0,16 ,17.0,12 ,16.0
Pumi,205,Herding,"Lively, Reserved, Intelligent, Active, Protective, Vocal",18 - 33,15 - 18.5,none,13 - 15 ,none,SyRe4xcN7,18 ,33.0,15 ,18.5,13 ,15.0
Rat Terrier,207,Terrier,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving",8 - 25,10 - 13,none,12 - 18 ,none,HkXWNl9E7,8 ,25.0,10 ,13.0,12 ,18.0
Redbone Coonhound,208,Hound,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",45 - 80,21 - 27,"Hunting raccoon, deer, bear, and cougar.",10 - 12 ,none,HJMzEl5N7,45 ,80.0,21 ,27.0,10 ,12.0
Rhodesian Ridgeback,209,Hound,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",75 - 80,24 - 27,"Big game hunting, guarding",10 - 12 ,none,By9zNgqE7,75 ,80.0,24 ,27.0,10 ,12.0
Rottweiler,210,Working,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",75 - 110,22 - 27,"Cattle drover, guardian, draft",8 - 10 ,none,r1xXEgcNX,75 ,110.0,22 ,27.0,8 ,10.0
Russian Toy,211,Toy,none,3 - 6,7.5 - 10.5,none,10 - 12 ,none,HkP7Vxc4Q,3 ,6.0,7.5 ,10.5,10 ,12.0
Saint Bernard,212,Working,"Friendly, Lively, Gentle, Watchful, Calm",130 - 180,25.5 - 27.5,"Draft, search, rescue",7 - 10 ,none,_Qf9nfRzL,130 ,180.0,25.5 ,27.5,7 ,10.0
Saluki,213,Hound,"Aloof, Reserved, Intelligent, Quiet",35 - 65,23 - 28,Coursing gazelle and hare,12 - 14 ,none,fjFIuehNo,35 ,65.0,23 ,28.0,12 ,14.0
Samoyed,214,Working,"Stubborn, Friendly, Sociable, Lively, Alert, Playful",50 - 60,19 - 23.5,"Herding reindeer, guardian, draft",12 - 14 ,none,S1T8Ee9Nm,50 ,60.0,19 ,23.5,12 ,14.0
Schipperke,216,Non-Sporting,"Fearless, Agile, Curious, Independent, Confident, Faithful",10 - 16,10 - 13,Barge watchdog,13 - 15 ,none,SyBvVgc47,10 ,16.0,10 ,13.0,13 ,15.0
Scottish Deerhound,218,Hound,"Docile, Friendly, Dignified, Gentle",70 - 130,28 - 32,Coursing deer,8 - 10 ,none,SkNjqx9NQ,70 ,130.0,28 ,32.0,8 ,10.0
Scottish Terrier,219,Terrier,"Feisty, Alert, Independent, Playful, Quick, Self-assured",18 - 22,10,Vermin hunting,11 - 13 ,none,Bklnce5NX,18 ,22.0,10,,11 ,13.0
Shetland Sheepdog,221,Herding,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",30,13 - 16,Sheep herding,12 - 14 ,none,rJa29l9E7,30,,13 ,16.0,12 ,14.0
Shiba Inu,222,Non-Sporting,"Charming, Fearless, Keen, Alert, Confident, Faithful",17 - 23,13.5 - 16.5,"Hunting in the mountains of Japan, Alert Watchdog",12 - 16 ,none,Zn3IjPX3f,17 ,23.0,13.5 ,16.5,12 ,16.0
Shih Tzu,223,Toy,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",9 - 16,8 - 11,Lapdog,10 - 18 ,none,BkrJjgcV7,9 ,16.0,8 ,11.0,10 ,18.0
Shiloh Shepherd,225,none,"Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",120 - 140,26 - 30,"Swimming, Carrying backpacks, Pulling carts or sleds",9 – 14 ,none,SJJxjecEX,120 ,140.0,26 ,30.0,9 – 14 ,
Siberian Husky,226,Working,"Outgoing, Friendly, Alert, Gentle, Intelligent",35 - 60,20 - 23.5,Sled pulling,12 ,none,S17ZilqNm,35 ,60.0,20 ,23.5,12 ,
Silky Terrier,228,Toy,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",8 - 10,9 - 10,"Small vermin hunting, companionship",12 - 15 ,none,ByzGsl5Nm,8 ,10.0,9 ,10.0,12 ,15.0
Smooth Fox Terrier,232,Terrier,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",up - 18,15.5,Fox bolting,12 - 14 ,none,Syszjx9Em,up ,18.0,15.5,,12 ,14.0
Soft Coated Wheaten Terrier,233,Terrier,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",30 - 40,16 - 18,"Vermin hunting, guarding, all-around farm helper",12 - 15 ,none,HJHmix5NQ,30 ,40.0,16 ,18.0,12 ,15.0
Spanish Water Dog,235,Sporting,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",30 - 50,16 - 20,Herding flocks of sheep and goats from one pasture to another,12 - 15 ,none,HJf4jl9VX,30 ,50.0,16 ,20.0,12 ,15.0
Spinone Italiano,236,Sporting,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",61 - 85,22.5 - 27.5,none,10 - 12 ,none,rk5Eoe5Nm,61 ,85.0,22.5 ,27.5,10 ,12.0
Staffordshire Bull Terrier,238,Terrier,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",24 - 38,14 - 16,,12 - 14 ,none,H1zSie9V7,24 ,38.0,14 ,16.0,12 ,14.0
Standard Schnauzer,239,Working,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",30 - 50,17.5 - 19.5,"Ratting, guarding",13 - 15 ,none,tmzeu6ID_,30 ,50.0,17.5 ,19.5,13 ,15.0
Swedish Vallhund,242,Herding,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",20 - 30,11.5 - 13.5,none,12 - 14 ,none,HJ-Dix94Q,20 ,30.0,11.5 ,13.5,12 ,14.0
Thai Ridgeback,243,Hound,"Protective, Loyal, Independent, Intelligent, Loving, Familial",35 - 55,20 - 24,none,10 - 12 ,none,zv89hR-O8,35 ,55.0,20 ,24.0,10 ,12.0
Tibetan Mastiff,244,Working,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",85 - 140,24 - 26,none,10 - 14 ,none,SkM9sec47,85 ,140.0,24 ,26.0,10 ,14.0
Tibetan Spaniel,245,Non-Sporting,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",9 - 15,10,none,12 - 15 ,none,Hyjcol947,9 ,15.0,10,,12 ,15.0
Tibetan Terrier,246,Non-Sporting,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",20 - 24,14 - 17,"Good luck charms, mascots, watchdogs, herding dogs, and companions",12 - 15 ,none,6f5n_42mB,20 ,24.0,14 ,17.0,12 ,15.0
Toy Fox Terrier,248,Toy,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",4 - 9,8 - 11,none,12 - 15 ,none,B17ase9V7,4 ,9.0,8 ,11.0,12 ,15.0
Treeing Walker Coonhound,250,Hound,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",45 - 80,20 - 27,none,10 - 13 ,none,SkRpsgc47,45 ,80.0,20 ,27.0,10 ,13.0
Vizsla,251,Sporting,"Affectionate, Energetic, Loyal, Gentle, Quiet",50 - 65,21 - 24,Pointing and trailing,10 - 14 ,none,r1o0jx9Em,50 ,65.0,21 ,24.0,10 ,14.0
Weimaraner,253,Sporting,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",55 - 90,23 - 27,Large game trailing and versatile gundog,12 - 15 ,none,SyU12l9V7,55 ,90.0,23 ,27.0,12 ,15.0
Welsh Springer Spaniel,254,Sporting,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",35 - 55,17 - 19,Flushing and retrieving birds,12 - 15 ,none,BJ1gnx5Vm,35 ,55.0,17 ,19.0,12 ,15.0
West Highland White Terrier,256,Terrier,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",15 - 22,10 - 11,"Fox, badger, vermin hunting",15 - 20 ,none,Bkdx2g5Em,15 ,22.0,10 ,11.0,15 ,20.0
Whippet,257,Hound,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",25 - 35,18 - 22,"Coursing, racing",12 - 15 ,none,Hyv-ne94m,25 ,35.0,18 ,22.0,12 ,15.0
White Shepherd,258,none,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",60 - 85,22 - 25,none,12 – 14 ,none,r14M3e9E7,60 ,85.0,22 ,25.0,12 – 14 ,
Wire Fox Terrier,259,none,"Fearless, Friendly, Bold, Keen, Alert, Quick",15 - 19,13 - 16,"Vermin hunting, fox bolting",13 – 14 ,none,SJ6f2g9EQ,15 ,19.0,13 ,16.0,13 – 14 ,
Wirehaired Pointing Griffon,260,Sporting,"Loyal, Gentle, Vigilant, Trainable, Proud",45 - 70,20 - 24,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",12 - 14 ,none,Bkam2l9Vm,45 ,70.0,20 ,24.0,12 ,14.0
Wirehaired Vizsla,261,Sporting,none,45 - 65,21.5 - 25,none,12 - 14 ,none,r1I4hl5Em,45 ,65.0,21.5 ,25.0,12 ,14.0
Xoloitzcuintli,262,Non-Sporting,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",9 - 31,10 - 23,none,12 - 14 ,none,HkNS3gqEm,9 ,31.0,10 ,23.0,12 ,14.0
Yorkshire Terrier,264,Toy,"Bold, Independent, Confident, Intelligent, Courageous",4 - 7,8 - 9,Small vermin hunting,12 - 16 ,none,B12BnxcVQ,4 ,7.0,8 ,9.0,12 ,16.0
